['note_on', 42, 43.632291666666646, 9]
['note_off', 42, 43.69687499999998, 9]
['note_off', 36, 43.80520833333331, 9]
['note_on', 46, 43.882291666666646, 9]
['note_off', 46, 44.065624999999976, 9]
['note_on', 38, 44.132291666666646, 9]
['note_on', 42, 44.132291666666646, 9]
['note_off', 42, 44.198958333333316, 9]
['note_on', 36, 44.382291666666646, 9]
['note_on', 46, 44.382291666666646, 9]
['note_off', 38, 44.38437499999998, 9]
['note_off', 46, 44.54062499999998, 9]
['note_on', 42, 44.632291666666646, 9]
['note_off', 36, 44.68645833333331, 9]
['note_off', 42, 44.698958333333316, 9]
['note_on', 36, 44.882291666666646, 9]
['note_on', 42, 44.882291666666646, 9]
['note_off', 42, 44.91979166666665, 9]
['note_on', 42, 45.007291666666646, 9]
['note_off', 36, 45.01562499999998, 9]
['note_off', 42, 45.05937499999998, 9]
['note_on', 38, 45.132291666666646, 9]
['note_on', 42, 45.132291666666646, 9]
['note_off', 42, 45.194791666666646, 9]
['note_off', 38, 45.33229166666665, 9]
['note_on', 42, 45.382291666666646, 9]
['note_off', 42, 45.43437499999998, 9]
['note_on', 42, 45.507291666666646, 9]
['note_off', 42, 45.55729166666664, 9]
['note_on', 36, 45.632291666666646, 9]
['note_on', 42, 45.632291666666646, 9]
['note_off', 42, 45.68437499999998, 9]
['note_off', 36, 45.80312499999998, 9]
['note_on', 46, 45.882291666666646, 9]
['note_off', 46, 46.038541666666646, 9]
['note_on', 38, 46.132291666666646, 9]
['note_on', 42, 46.132291666666646, 9]
['note_off', 42, 46.19687499999998, 9]
['note_off', 38, 46.382291666666646, 9]
['note_on', 36, 46.382291666666646, 9]
['note_on', 46, 46.382291666666646, 9]
['note_off', 46, 46.52604166666664, 9]
['note_on', 42, 46.632291666666646, 9]
['note_off', 42, 46.68437499999998, 9]
['note_off', 36, 46.74062499999998, 9]
['note_on', 42, 46.757291666666646, 9]
['note_off', 42, 46.823958333333316, 9]
['note_on', 36, 46.882291666666646, 9]
['note_on', 42, 46.882291666666646, 9]
['note_off', 42, 46.93437499999998, 9]
['note_off', 36, 47.00312499999998, 9]
['note_on', 46, 47.00729166666665, 9]
['note_off', 46, 47.08645833333332, 9]
['note_on', 38, 47.13229166666665, 9]
['note_on', 42, 47.13229166666665, 9]
['note_off', 42, 47.23645833333332, 9]
['note_off', 38, 47.27812499999998, 9]
['note_on', 36, 47.632291666666646, 9]
['note_on', 42, 47.632291666666646, 9]
['note_off', 42, 47.723958333333314, 9]
['note_off', 36, 47.73854166666665, 9]
['note_on', 36, 47.882291666666646, 9]
['note_on', 46, 47.882291666666646, 9]
['note_off', 36, 47.96354166666664, 9]
['note_off', 46, 48.001041666666644, 9]
['note_on', 38, 48.132291666666646, 9]
['note_on', 42, 48.132291666666646, 9]
['note_off', 42, 48.18437499999998, 9]
['note_off', 38, 48.33020833333332, 9]
['note_on', 36, 48.38229166666665, 9]
['note_on', 46, 48.38229166666665, 9]
['note_off', 36, 48.50104166666665, 9]
['note_off', 46, 48.52604166666665, 9]
['note_on', 42, 48.63229166666665, 9]
['note_off', 42, 48.70937499999999, 9]
['note_on', 42, 48.88229166666665, 9]
['note_off', 42, 48.93645833333332, 9]
['note_on', 42, 49.00729166666665, 9]
['note_off', 42, 49.07395833333332, 9]
['note_on', 42, 49.13229166666665, 9]
['note_off', 42, 49.196874999999984, 9]
['note_on', 36, 49.38229166666665, 9]
['note_on', 42, 49.38229166666665, 9]
['note_off', 42, 49.421874999999986, 9]
['note_off', 36, 49.448958333333316, 9]
['note_on', 42, 49.507291666666646, 9]
['note_off', 42, 49.55937499999998, 9]
['note_on', 36, 49.632291666666646, 9]
['note_on', 42, 49.632291666666646, 9]
['note_off', 42, 49.70937499999998, 9]
['note_off', 36, 49.751041666666644, 9]
['note_on', 36, 49.882291666666646, 9]
['note_on', 46, 49.882291666666646, 9]
['note_off', 36, 49.973958333333314, 9]
['note_off', 46, 50.08020833333332, 9]
['note_on', 38, 50.13229166666665, 9]
['note_on', 42, 50.13229166666665, 9]
['note_off', 42, 50.196874999999984, 9]
['note_off', 38, 50.34479166666665, 9]
['note_on', 36, 50.38229166666665, 9]
['note_on', 46, 50.38229166666665, 9]
['note_off', 46, 50.582291666666656, 9]
['note_on', 42, 50.63229166666665, 9]
['note_off', 36, 50.66145833333332, 9]
['note_off', 42, 50.70937499999999, 9]
['note_on', 36, 50.88229166666665, 9]
['note_on', 42, 50.88229166666665, 9]
['note_off', 42, 50.946874999999984, 9]
['note_off', 36, 50.948958333333316, 9]
['note_on', 42, 51.007291666666646, 9]
['note_off', 42, 51.07187499999998, 9]
['note_on', 38, 51.132291666666646, 9]
['note_on', 42, 51.132291666666646, 9]
['note_off', 42, 51.223958333333314, 9]
['note_off', 38, 51.30312499999998, 9]
['note_on', 36, 51.382291666666646, 9]
['note_on', 42, 51.382291666666646, 9]
['note_off', 42, 51.43229166666664, 9]
['note_off', 36, 51.47395833333331, 9]
['note_on', 42, 51.50729166666664, 9]
['note_off', 42, 51.557291666666636, 9]
['note_on', 36, 51.63229166666664, 9]
['note_on', 42, 51.63229166666664, 9]
['note_off', 42, 51.69687499999997, 9]
['note_off', 36, 51.738541666666634, 9]
['note_on', 36, 51.88229166666663, 9]
['note_on', 46, 51.88229166666663, 9]
['note_off', 36, 51.96354166666663, 9]
['note_off', 46, 52.06562499999996, 9]
['note_on', 38, 52.13229166666663, 9]
['note_on', 42, 52.13229166666663, 9]
